areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2022-01-07,97,151191
nation,England,E92000001,2022-01-06,116,151094
nation,England,E92000001,2022-01-05,99,150978
nation,England,E92000001,2022-01-04,118,150879
nation,England,E92000001,2022-01-03,126,150761
nation,England,E92000001,2022-01-02,111,150635
nation,England,E92000001,2022-01-01,124,150524
nation,England,E92000001,2021-12-31,104,150400
nation,England,E92000001,2021-12-30,135,150296
nation,England,E92000001,2021-12-29,92,150161
nation,England,E92000001,2021-12-28,113,150069
nation,England,E92000001,2021-12-27,101,149956
nation,England,E92000001,2021-12-26,92,149855
nation,England,E92000001,2021-12-25,83,149763
nation,England,E92000001,2021-12-24,95,149680
nation,England,E92000001,2021-12-23,110,149585
nation,England,E92000001,2021-12-22,113,149475
nation,England,E92000001,2021-12-21,80,149362
nation,England,E92000001,2021-12-20,103,149282
nation,England,E92000001,2021-12-19,91,149179
nation,England,E92000001,2021-12-18,89,149088
nation,England,E92000001,2021-12-17,103,148999
nation,England,E92000001,2021-12-16,92,148896
nation,England,E92000001,2021-12-15,91,148804
nation,England,E92000001,2021-12-14,119,148713
nation,England,E92000001,2021-12-13,86,148594
nation,England,E92000001,2021-12-12,113,148508
nation,England,E92000001,2021-12-11,82,148395
nation,England,E92000001,2021-12-10,93,148313
nation,England,E92000001,2021-12-09,99,148220
nation,England,E92000001,2021-12-08,101,148121
nation,England,E92000001,2021-12-07,91,148020
nation,England,E92000001,2021-12-06,106,147929
nation,England,E92000001,2021-12-05,92,147823
nation,England,E92000001,2021-12-04,124,147731
nation,England,E92000001,2021-12-03,119,147607
nation,England,E92000001,2021-12-02,91,147488
nation,England,E92000001,2021-12-01,106,147397
nation,England,E92000001,2021-11-30,102,147291
nation,England,E92000001,2021-11-29,115,147189
nation,England,E92000001,2021-11-28,99,147074
nation,England,E92000001,2021-11-27,92,146975
nation,England,E92000001,2021-11-26,98,146883
nation,England,E92000001,2021-11-25,110,146785
nation,England,E92000001,2021-11-24,102,146675
nation,England,E92000001,2021-11-23,113,146573
nation,England,E92000001,2021-11-22,94,146460
nation,England,E92000001,2021-11-21,94,146366
nation,England,E92000001,2021-11-20,103,146272
nation,England,E92000001,2021-11-19,104,146169
nation,England,E92000001,2021-11-18,102,146065
nation,England,E92000001,2021-11-17,91,145963
nation,England,E92000001,2021-11-16,130,145872
nation,England,E92000001,2021-11-15,129,145742
nation,England,E92000001,2021-11-14,102,145613
nation,England,E92000001,2021-11-13,114,145511
nation,England,E92000001,2021-11-12,100,145397
nation,England,E92000001,2021-11-11,121,145297
nation,England,E92000001,2021-11-10,125,145176
nation,England,E92000001,2021-11-09,129,145051
nation,England,E92000001,2021-11-08,123,144922
nation,England,E92000001,2021-11-07,117,144799
nation,England,E92000001,2021-11-06,131,144682
nation,England,E92000001,2021-11-05,127,144551
nation,England,E92000001,2021-11-04,128,144424
nation,England,E92000001,2021-11-03,130,144296
nation,England,E92000001,2021-11-02,128,144166
nation,England,E92000001,2021-11-01,140,144038
nation,England,E92000001,2021-10-31,147,143898
nation,England,E92000001,2021-10-30,120,143751
nation,England,E92000001,2021-10-29,129,143631
nation,England,E92000001,2021-10-28,154,143502
nation,England,E92000001,2021-10-27,134,143348
nation,England,E92000001,2021-10-26,127,143214
nation,England,E92000001,2021-10-25,122,143087
nation,England,E92000001,2021-10-24,118,142965
nation,England,E92000001,2021-10-23,125,142847
nation,England,E92000001,2021-10-22,110,142722
nation,England,E92000001,2021-10-21,112,142612
nation,England,E92000001,2021-10-20,112,142500
nation,England,E92000001,2021-10-19,107,142388
nation,England,E92000001,2021-10-18,95,142281
nation,England,E92000001,2021-10-17,105,142186
nation,England,E92000001,2021-10-16,104,142081
nation,England,E92000001,2021-10-15,107,141977
nation,England,E92000001,2021-10-14,112,141870
nation,England,E92000001,2021-10-13,97,141758
nation,England,E92000001,2021-10-12,94,141661
nation,England,E92000001,2021-10-11,95,141567
nation,England,E92000001,2021-10-10,80,141472
nation,England,E92000001,2021-10-09,92,141392
nation,England,E92000001,2021-10-08,94,141300
nation,England,E92000001,2021-10-07,95,141206
nation,England,E92000001,2021-10-06,76,141111
